participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P10,C,beta,1,0.9666666666666667,0.5490819931030273,0.548455024587697
P10,C,beta,2,1.0,0.5652643044789633,0.5652643044789633
P10,C,beta,3,1.0,0.6362622578938802,0.6362622578938802
P10,C,gamma,1,0.9666666666666667,0.8804651950967723,0.8804651950967723
P10,C,gamma,2,1.0,0.6782777865727743,0.6782777865727743
P10,C,gamma,3,1.0,0.6257864713668824,0.6257864713668824
P11,B,alpha,1,1.0,0.7194420655568441,0.7194420655568441
P11,B,alpha,2,0.9666666666666667,0.6638548785242541,0.6638548785242541
P11,B,alpha,3,0.8,0.6497186422348022,0.6497186422348022
P11,B,beta,1,0.8333333333333334,0.8894928012575422,0.888234577178955
P11,B,beta,2,0.9666666666666667,0.7201382954915364,0.7225445467850258
P11,B,beta,3,1.0,0.6851233084996541,0.6851233084996541
P11,B,gamma,1,0.9666666666666667,0.7992207368214925,0.7714308705823175
P11,B,gamma,2,0.9,0.7545194132574673,0.7600429234681306
P11,B,gamma,3,0.9666666666666667,0.8036336342493693,0.8052972102987355
P11,C,alpha,1,1.0,0.5141352971394857,0.5141352971394857
P11,C,alpha,2,1.0,0.42574520111083985,0.42574520111083985
P11,C,alpha,3,0.9333333333333333,0.37375017007191974,0.3785828266824995
P11,C,beta,1,0.9666666666666667,0.5537100632985433,0.5594336657688536
P11,C,beta,2,1.0,0.5008464972178142,0.5008464972178142
P11,C,beta,3,0.9666666666666667,0.43065314292907714,0.4336081866560311
P11,C,gamma,1,0.9666666666666667,0.8438522338867187,0.8371503106478987
P11,C,gamma,2,0.9333333333333333,0.526676005330579,0.5333708609853473
P11,C,gamma,3,0.9333333333333333,0.46163177490234375,0.46134876353400095
P12,B,alpha,1,0.9666666666666667,1.1567305167516073,1.178667948163789
P12,B,alpha,2,0.9666666666666667,0.7962443908055623,0.7822814398798449
P12,B,alpha,3,0.9666666666666667,0.7999473333358764,0.8037215841227564
P12,B,beta,1,0.9666666666666667,0.9518471797307332,0.9560333942544872
P12,B,beta,2,0.9333333333333333,0.8563250426588387,0.8530378001076835
P12,B,beta,3,0.8666666666666667,0.9241858561833699,0.9393563820765569
P12,B,gamma,1,0.9,1.237665597597758,1.246440958093714
P12,B,gamma,2,0.9333333333333333,0.907234247525533,0.921796841280801
P12,B,gamma,3,0.9666666666666667,0.8577131668726603,0.8583114147186279
P12,C,alpha,1,0.9666666666666667,0.7577063878377278,0.7506208173159895
P12,C,alpha,2,0.9666666666666667,0.6914883295694987,0.6925697491086763
P12,C,alpha,3,1.0,0.6641492366790771,0.6641492366790771
P12,C,beta,1,0.9666666666666667,0.7963547547658284,0.7972375771095013
P12,C,beta,2,1.0,0.6753681580225627,0.6753681580225627
P12,C,beta,3,1.0,0.6771533250808716,0.6771533250808716
P12,C,gamma,1,0.9666666666666667,0.8213895082473754,0.806280489625602
P12,C,gamma,2,0.9666666666666667,0.7442808469136556,0.7435812128001246
P12,C,gamma,3,1.0,0.7282497644424438,0.7282497644424438
P13,B,alpha,1,0.9333333333333333,0.9566629837299215,0.9605460592678615
P13,B,alpha,2,1.0,0.9010082165400187,0.9010082165400187
P13,B,alpha,3,0.9666666666666667,0.7975015481313069,0.7999923558070742
P13,B,beta,1,1.0,0.8781359910964965,0.8781359910964965
P13,B,beta,2,0.8333333333333334,0.8365703026453654,0.8293046283721924
P13,B,beta,3,0.8333333333333334,0.8430965344111124,0.8703187084197999
