participant,trial_index,level,a_occurrence,level_occurrence,n_target_events,n_resolved_responses,selection_coverage_pct,dominant_finger,dominant_share_pct,unique_fingers,effective_fingers,finger_switch_rate_pct,median_correct_key_rt_ms,key_accuracy_pct,n_effort_events,actual_key_travel_semitones,reference_key_travel_semitones,actual_finger_transition_steps,reference_finger_transition_steps,actual_hand_switch_pct,reference_hand_switch_pct
P07,9,beta,2,2,30,30,100.0,L2,40.0,6,4.255257475247274,86.20689655172413,442.7473545074463,100.0,30,2.357142857142857,2.4642857142857144,0.6785714285714286,1.2142857142857142,34.48275862068966,48.275862068965516
P07,15,alpha,3,1,30,30,100.0,R3,23.333333333333332,8,7.158663079454366,86.20689655172413,414.2279624938965,100.0,30,2.5714285714285716,1.4285714285714286,1.0714285714285714,1.0,17.24137931034483,34.48275862068966
P07,16,alpha,4,2,30,30,100.0,L2,23.333333333333332,7,6.585846251059996,89.65517241379311,438.2667541503906,100.0,30,1.8214285714285714,1.4642857142857142,0.7142857142857143,0.9285714285714286,31.03448275862069,31.03448275862069
P07,18,gamma,5,1,30,30,100.0,L2,30.0,7,6.214299378439944,86.20689655172413,449.43344593048096,100.0,30,3.75,4.892857142857143,1.0714285714285714,2.142857142857143,68.96551724137932,55.172413793103445
P07,20,alpha,6,3,30,30,100.0,R2,33.333333333333336,5,4.345038113703836,96.55172413793103,373.09813499450684,100.0,30,1.7142857142857142,1.3928571428571428,0.8214285714285714,1.0,44.827586206896555,34.48275862068966
P07,21,beta,7,3,30,30,100.0,L3,23.333333333333332,7,5.894942670152389,93.10344827586206,401.26001834869385,100.0,30,1.9642857142857142,2.2142857142857144,0.9285714285714286,1.5357142857142858,41.37931034482759,48.275862068965516
P07,23,gamma,8,2,30,30,100.0,L4,23.333333333333332,7,6.225956003724825,93.10344827586206,475.1019477844238,96.66666666666667,29,4.592592592592593,5.37037037037037,1.4074074074074074,2.185185185185185,60.71428571428571,53.57142857142857
P07,26,gamma,9,3,30,30,100.0,R2,26.666666666666668,8,6.723700194552597,96.55172413793103,416.2389039993286,100.0,30,4.321428571428571,4.821428571428571,1.3214285714285714,1.9642857142857142,58.620689655172406,51.724137931034484
P08,2,gamma,1,1,30,30,100.0,L2,30.0,8,6.264541534335933,93.10344827586206,951.8606662750244,100.0,30,4.607142857142857,5.464285714285714,1.3928571428571428,2.2142857142857144,65.51724137931035,55.172413793103445
P08,6,beta,2,1,30,30,100.0,R2,53.333333333333336,6,4.04197671929254,82.75862068965517,501.33609771728516,96.66666666666667,29,2.740740740740741,3.0,0.48148148148148145,1.1851851851851851,42.857142857142854,50.0
P08,7,beta,3,2,30,30,100.0,R2,50.0,5,3.6635261136339023,75.86206896551724,566.8187141418457,100.0,30,2.9285714285714284,2.9642857142857144,0.42857142857142855,1.2857142857142858,44.827586206896555,44.827586206896555
