participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P11,7,C,beta,1.0,0.972222222222222,0.5008464972178142,0.634451271723796
P11,8,B,beta,0.9666666666666667,0.9833333333333333,0.7201382954915364,0.5838948360630857
P11,9,C,gamma,0.9333333333333333,0.9388888888888889,0.526676005330579,0.5446306762784919
P11,10,B,gamma,0.9666666666666667,0.972222222222222,0.7992207368214925,0.6421041510331762
P11,11,B,gamma,0.9,0.9055555555555553,0.7545194132574673,0.597402827469151
P11,14,B,beta,1.0,1.0166666666666666,0.6851233084996541,0.5488798490712034
P11,15,B,alpha,0.9666666666666667,0.9944444444444444,0.6638548785242541,0.614857692073414
P11,16,C,alpha,1.0,0.972222222222222,0.42574520111083985,0.6165429873245516
P11,17,C,gamma,0.9333333333333333,0.9388888888888889,0.46163177490234375,0.47958644585025667
P11,21,B,alpha,0.8,0.8277777777777777,0.6497186422348022,0.6007214557839622
P11,23,C,beta,0.9666666666666667,0.9388888888888887,0.43065314292907714,0.564257917435059
P11,24,C,alpha,0.9333333333333333,0.9055555555555553,0.37375017007191974,0.5645479562856315
P11,27,B,gamma,0.9666666666666667,0.972222222222222,0.8036336342493693,0.646517048461053
P12,1,B,alpha,0.9666666666666667,0.9611111111111111,1.1567305167516073,1.0748694166217576
P12,3,B,gamma,0.9,0.9277777777777777,1.237665597597758,1.0725742404336065
P12,4,B,beta,0.9666666666666667,1.0055555555555555,0.9518471797307332,0.8768408003742514
P12,5,C,beta,0.9666666666666667,0.9388888888888889,0.7963547547658284,0.9158423223105732
P12,6,C,gamma,0.9666666666666667,0.95,0.8213895082473754,0.8925291152140493
P12,7,C,alpha,0.9666666666666667,0.95,0.7577063878377278,0.8890380499767921
P12,9,B,gamma,0.9333333333333333,0.961111111111111,0.907234247525533,0.7421428903613816
P12,10,B,alpha,0.9666666666666667,0.9611111111111111,0.7962443908055623,0.7143832906757126
P12,13,B,beta,0.9333333333333333,0.9722222222222223,0.8563250426588387,0.7813186633023569
P12,15,C,beta,1.0,0.9722222222222222,0.6753681580225627,0.7948557255673074
P12,16,C,alpha,0.9666666666666667,0.95,0.6914883295694987,0.822819991708563
P12,18,C,gamma,0.9666666666666667,0.95,0.7442808469136556,0.8154204538803295
P12,19,B,gamma,0.9666666666666667,0.9944444444444444,0.8577131668726603,0.6926218097085088
P12,20,B,alpha,0.9666666666666667,0.9611111111111111,0.7999473333358764,0.7180862332060267
P12,21,C,alpha,1.0,0.9833333333333333,0.6641492366790771,0.7954808988181414
P12,22,C,beta,1.0,0.9722222222222222,0.6771533250808716,0.7966408926256163
P12,26,C,gamma,1.0,0.9833333333333333,0.7282497644424438,0.7993893714091177
