participant,level,metric,unit,generated_reference,actual,difference_actual_minus_reference
P09,beta,same_hand_key_travel,semitones,2.535714285714286,2.547619047619048,0.011904761904761862
P10,beta,same_hand_key_travel,semitones,2.430335097001764,2.5943562610229276,0.16402116402116373
P11,beta,same_hand_key_travel,semitones,2.4642857142857144,2.380952380952381,-0.08333333333333348
P12,beta,same_hand_key_travel,semitones,2.5476190476190474,2.4761904761904763,-0.07142857142857117
P13,beta,same_hand_key_travel,semitones,2.623015873015873,2.8439153439153437,0.2208994708994707
P14,beta,same_hand_key_travel,semitones,2.7619047619047614,2.690476190476191,-0.07142857142857029
P15,beta,same_hand_key_travel,semitones,2.548500881834215,2.6543209876543212,0.10582010582010604
P16,beta,same_hand_key_travel,semitones,2.5388007054673722,2.4876543209876543,-0.05114638447971798
P01,gamma,same_hand_key_travel,semitones,5.2023809523809526,4.464285714285714,-0.7380952380952381
P02,gamma,same_hand_key_travel,semitones,4.8785185185185185,5.011396011396012,0.13287749287749318
P03,gamma,same_hand_key_travel,semitones,5.136412969746304,4.3694885361552025,-0.7669244335911012
P04,gamma,same_hand_key_travel,semitones,5.253086419753086,3.8875661375661377,-1.3655202821869485
P05,gamma,same_hand_key_travel,semitones,4.931657848324515,4.249118165784832,-0.6825396825396828
P06,gamma,same_hand_key_travel,semitones,5.3690476190476195,5.219211822660099,-0.14983579638752076
P07,gamma,same_hand_key_travel,semitones,5.0282186948853616,4.221340388007055,-0.806878306878307
P08,gamma,same_hand_key_travel,semitones,5.107142857142857,4.238095238095238,-0.8690476190476186
P09,gamma,same_hand_key_travel,semitones,5.131834215167549,4.174603174603175,-0.9572310405643742
P10,gamma,same_hand_key_travel,semitones,5.332010582010581,4.583333333333333,-0.7486772486772484
P11,gamma,same_hand_key_travel,semitones,5.327160493827161,4.317460317460317,-1.0097001763668434
P12,gamma,same_hand_key_travel,semitones,5.511904761904762,4.6309523809523805,-0.8809523809523814
P13,gamma,same_hand_key_travel,semitones,4.9523809523809526,4.75,-0.20238095238095255
P14,gamma,same_hand_key_travel,semitones,5.341269841269842,4.3540564373897706,-0.9872134038800713
P15,gamma,same_hand_key_travel,semitones,5.065255731922399,4.2861552028218695,-0.7791005291005293
P16,gamma,same_hand_key_travel,semitones,5.348765432098766,4.4828042328042335,-0.8659611992945324
