id,participant_id,actuator_type,trial_index,vibration_onset,response_time,reaction_time_ms,is_valid,is_miss,false_start_count,iti_seconds,created_at
88,3,ERM,13,2490791.723559875,2490792.017026083,293.466208036989,1,0,0,2.8035189725839547,2026-04-16 09:45:08
89,3,ERM,14,2490796.504485083,2490796.797035916,292.5508329644799,1,0,0,4.481618005904435,2026-04-16 09:45:13
90,3,ERM,15,2490799.146345583,2490799.446583375,300.2377920784056,1,0,0,2.342788910715441,2026-04-16 09:45:16
91,4,LRA,1,2490835.095783375,2490835.489686833,393.90345802530646,1,0,0,4.10828222183748,2026-04-16 09:45:52
92,4,LRA,2,2490839.535057125,2490839.742341416,207.2842908091843,1,0,0,4.037901026766129,2026-04-16 09:45:56
93,4,LRA,3,2490844.543839125,2490844.750076666,206.23754104599357,1,0,0,4.798249892206732,2026-04-16 09:46:01
94,4,LRA,4,2490849.227487958,2490849.416145,188.65704210475087,1,0,0,4.470149817940907,2026-04-16 09:46:06
95,4,LRA,5,2490853.048088833,2490853.232706416,184.61758270859718,1,0,0,3.611949792324982,2026-04-16 09:46:09
96,4,LRA,6,2490855.286302166,2490855.524756,238.45383385196328,1,0,0,2.026794063035185,2026-04-16 09:46:12
97,4,LRA,7,2490859.633034708,2490859.819387583,186.35287508368492,1,0,0,4.100837981101737,2026-04-16 09:46:16
98,4,LRA,8,2490863.282829416,2490863.4577375,174.90808386355639,1,0,0,3.4365797691858893,2026-04-16 09:46:20
99,4,LRA,9,2490866.492371458,2490866.646556625,154.18516704812646,1,0,0,3.0013535101546616,2026-04-16 09:46:23
100,4,LRA,10,2490870.085285666,2490870.299669125,214.38345918431878,1,0,0,3.3862644888113933,2026-04-16 09:46:26
101,4,LRA,11,2490872.949667625,2490873.252844416,303.1767909415066,1,0,0,2.6426965561682545,2026-04-16 09:46:29
102,4,LRA,12,2490878.026070333,2490878.317519666,291.44933307543397,1,0,0,4.765893961287499,2026-04-16 09:46:34
103,4,LRA,13,2490882.7378875,2490882.931601666,193.71416606009007,1,0,0,4.412899139593865,2026-04-16 09:46:39
104,4,LRA,14,2490885.859074541,2490886.027141083,168.06654212996364,1,0,0,2.916209036916567,2026-04-16 09:46:42
105,4,LRA,15,2490891.016137083,2490891.213547291,197.4102077074349,1,0,0,4.942974662217715,2026-04-16 09:46:47
106,4,ERM,1,2490912.025910375,2490912.246663541,220.75316589325666,1,0,0,3.9435425235335417,2026-04-16 09:47:08
107,4,ERM,2,2490917.060440625,2490917.306670875,246.2302497588098,1,0,0,4.808707618459974,2026-04-16 09:47:13
108,4,ERM,3,2490919.911473333,2490920.194197333,282.72400004789233,1,0,0,2.601944804385796,2026-04-16 09:47:16
109,4,ERM,4,2490924.690174833,2490924.902518583,212.34375005587935,1,0,0,4.488897650867083,2026-04-16 09:47:21
110,4,ERM,5,2490927.457811666,2490927.749072291,291.2606247700751,1,0,0,2.5523036833509907,2026-04-16 09:47:24
111,4,ERM,6,2490931.325175791,2490931.570900666,245.7248750142753,1,0,0,3.5698844695970973,2026-04-16 09:47:28
112,4,ERM,7,2490934.427099208,2490934.644920416,217.82120829448104,1,0,0,2.8510262942416422,2026-04-16 09:47:31
113,4,ERM,8,2490938.82018775,2490939.00359675,183.40900028124452,1,0,0,4.168130747607577,2026-04-16 09:47:35
114,4,ERM,9,2490941.81839975,2490942.023978958,205.57920774444938,1,0,1,2.792338243580081,2026-04-16 09:47:38
115,4,ERM,10,2490946.686130333,2490946.945580375,259.4500416889787,1,0,0,4.654939653581435,2026-04-16 09:47:43
116,4,ERM,11,2490949.742051875,2490949.972878875,230.8269999921322,1,0,0,2.7911499071561083,2026-04-16 09:47:46
117,4,ERM,12,2490952.19616725,2490952.459814291,263.6470408178866,1,0,0,2.215469984095116,2026-04-16 09:47:49
118,4,ERM,13,2490955.730898125,2490956.042550166,311.6520410403609,1,0,0,3.2654024527254433,2026-04-16 09:47:52
119,4,ERM,14,2490960.800839,2490961.062377708,261.5387081168592,1,0,0,4.751030848691873,2026-04-16 09:47:57
120,4,ERM,15,2490965.976066958,2490966.226673833,250.60687493532896,1,0,0,4.909156487634393,2026-04-16 09:48:02
121,5,LRA,1,2490993.97934275,2490994.259112916,279.7701661475003,1,0,0,4.893454360037977,2026-04-16 09:48:30
122,5,LRA,2,2490999.056102375,2490999.290374583,234.27220806479454,1,0,0,4.790751522647513,2026-04-16 09:48:35
123,5,LRA,3,2491003.007295833,2491003.304329875,297.0340419560671,1,0,0,3.7138455996357607,2026-04-16 09:48:39
124,5,LRA,4,2491008.026695125,2491008.240604375,213.90925021842122,1,0,0,4.715036036344337,2026-04-16 09:48:44
125,5,LRA,5,2491011.943951541,2491012.213975083,270.0235419906676,1,0,0,3.6960509433808886,2026-04-16 09:48:48
126,5,LRA,6,2491014.630081041,2491014.957914666,327.83362502232194,1,0,0,2.4088169739235794,2026-04-16 09:48:51
127,5,LRA,7,2491019.541283,2491019.817919875,276.6368752345443,1,0,0,4.5809660759123005,2026-04-16 09:48:56
128,5,LRA,8,2491024.093503333,2491024.355997041,262.4937077052891,1,0,0,4.271187780228409,2026-04-16 09:49:00
129,5,LRA,9,2491026.645793333,2491026.981514166,335.72083292528987,1,0,0,2.2856979768821954,2026-04-16 09:49:03
130,5,LRA,10,2491030.475041708,2491030.827557791,352.51608304679394,1,0,0,3.4883285109290005,2026-04-16 09:49:07
131,5,LRA,11,2491035.1733005,2491035.374012375,200.71187475696206,1,0,0,4.338295858203125,2026-04-16 09:49:11
132,5,LRA,12,2491039.496129041,2491039.726613291,230.48425000160933,1,0,0,4.11468816776467,2026-04-16 09:49:16
133,5,LRA,13,2491042.109370958,2491042.423270625,313.8996670022607,1,0,0,2.3766898600293644,2026-04-16 09:49:19
134,5,LRA,14,2491046.672387,2491046.87772675,205.33974980935454,1,0,0,4.242968696300299,2026-04-16 09:49:23
135,5,LRA,15,2491050.717457541,2491051.050152166,332.69462501630187,1,0,0,3.8326299676281517,2026-04-16 09:49:27
136,5,ERM,1,2491071.241880625,2491071.512549583,270.66895784810185,1,0,0,3.5459811390338256,2026-04-16 09:49:48
137,5,ERM,2,2491074.007612958,2491074.245520416,237.90745809674263,1,0,0,2.4916139595595874,2026-04-16 09:49:50
138,5,ERM,3,2491078.079953333,2491078.287443083,207.48974988237023,1,0,0,3.8266655783905748,2026-04-16 09:49:54
139,5,ERM,4,2491081.735953416,2491082.009326958,273.37354188784957,1,0,0,3.4411461663082985,2026-04-16 09:49:58
140,5,ERM,5,2491086.588987666,2491086.862202375,273.2147090137005,1,0,0,4.572263370868294,2026-04-16 09:50:03
141,5,ERM,6,2491089.782660041,2491089.993135166,210.4751248843968,1,0,0,2.9132400691401727,2026-04-16 09:50:06
142,5,ERM,7,2491093.062772791,2491093.265631791,202.8590003028512,1,0,0,3.062749559649988,2026-04-16 09:50:09
143,5,ERM,8,2491096.225320541,2491096.419267375,193.94683418795466,1,0,0,2.94985353629788,2026-04-16 09:50:13
144,5,ERM,9,2491099.172361291,2491099.389018958,216.6576669551432,1,0,0,2.740068037234839,2026-04-16 09:50:15
145,5,ERM,10,2491103.790647666,2491104.052462416,261.8147497996688,1,0,0,4.394408519359677,2026-04-16 09:50:20
146,5,ERM,11,2491106.123469041,2491106.430815625,307.3465838097036,1,0,0,2.0659704480473695,2026-04-16 09:50:23
147,5,ERM,12,2491110.279549958,2491110.501093333,221.5433749370277,1,0,0,3.8413674225679646,2026-04-16 09:50:27
148,5,ERM,13,2491112.688700083,2491112.943922291,255.2222078666091,1,0,0,2.180366819459554,2026-04-16 09:50:29
149,5,ERM,14,2491117.204030625,2491117.4972125,293.1818747892976,1,0,0,4.252881920807438,2026-04-16 09:50:34
150,5,ERM,15,2491122.168083625,2491122.441670041,273.5864161513746,1,0,0,4.663306113170147,2026-04-16 09:50:39
